price,m2_price,square,rooms,district,micro_district,building_type,floor,floors,condition,building_age,floor_to_floors,is_good_floor
110880,720,154,4,1,0,2,12,14,2,2,0.8571428571428571,0
57000,740,77,2,1,0,2,5,12,2,2,0.4166666666666667,1
57750,750,77,2,1,0,1,5,12,2,2,0.4166666666666667,1
57000,740,77,2,1,0,2,5,12,2,2,0.4166666666666667,1
55000,1279,43,1,2,3,2,1,12,6,12,0.08333333333333333,0
97000,1276,76,2,3,1,2,10,12,5,7,0.8333333333333334,0
160000,1455,110,3,3,0,2,3,3,5,10,1.0,0
158990,880,181,4,1,0,1,9,14,2,5,0.6428571428571429,0
68000,1283,53,1,1,0,1,7,9,5,6,0.7777777777777778,0
57500,1198,48,2,0,2,2,8,10,5,7,0.8,0
60000,1364,44,1,1,0,1,8,12,5,4,0.6666666666666666,0
41500,1383,30,1,1,2,0,4,4,6,4,1.0,0
57500,1198,48,2,0,2,2,8,10,6,7,0.8,0
73000,1123,65,3,1,0,1,4,12,5,5,0.3333333333333333,1
129600,810,160,4,1,4,2,4,16,2,4,0.25,1
124820,790,158,4,1,0,1,7,14,2,4,0.5,1
84240,810,104,3,1,0,2,3,16,2,4,0.1875,1
78000,963,81,3,2,2,0,1,9,5,6,0.1111111111111111,0
112000,1244,90,3,3,1,1,13,13,5,5,1.0,0
112000,1244,90,3,3,1,1,13,13,5,5,1.0,0
65500,978,67,2,1,1,1,3,9,5,6,0.3333333333333333,1
51000,1062,48,1,1,0,1,7,9,5,3,0.7777777777777778,0
73000,869,84,2,1,0,2,4,5,6,4,0.8,0
65500,978,67,2,1,1,1,3,8,5,8,0.375,1
38500,1167,33,1,0,3,0,4,9,6,7,0.4444444444444444,1
92000,958,96,3,2,3,1,10,12,5,6,0.8333333333333334,0
90000,909,99,3,2,2,0,1,9,5,6,0.1111111111111111,0
63000,1370,46,1,3,3,1,6,9,5,4,0.6666666666666666,0
73000,1123,65,3,1,0,1,4,12,5,5,0.3333333333333333,1
42800,951,45,1,1,0,0,8,9,6,4,0.8888888888888888,0
107500,1250,86,3,1,0,1,6,8,2,4,0.75,0
47000,1093,43,2,1,2,0,4,4,6,4,1.0,0
47000,1093,43,2,1,2,0,4,4,6,4,1.0,0
39000,1300,30,1,3,2,2,4,4,5,7,1.0,0
35500,856,41,1,2,2,1,14,14,5,2,1.0,0
47000,1093,43,2,1,2,0,4,4,5,4,1.0,0
75000,843,89,3,1,0,1,7,12,2,3,0.5833333333333334,0
58000,784,74,2,1,0,1,8,9,5,3,0.8888888888888888,0
50000,1111,45,1,2,1,1,12,12,5,5,1.0,0
54500,1090,50,2,3,1,0,1,10,4,7,0.1,0
70000,1207,58,3,1,2,0,2,4,5,4,0.5,1
52500,868,60,2,1,0,1,3,15,5,2,0.2,1
47000,1093,43,2,1,2,0,4,4,6,4,1.0,0
69000,972,71,2,1,0,0,2,10,5,4,0.2,1
57000,877,65,2,1,0,1,3,10,5,3,0.3,1
79970,1095,73,2,1,0,1,6,16,2,3,0.375,1
100000,1351,74,2,1,0,1,5,11,5,4,0.45454545454545453,1
58000,784,74,2,1,0,1,8,9,2,3,0.8888888888888888,0
107000,1039,103,3,1,0,1,11,16,2,3,0.6875,0
96600,1150,84,2,1,0,1,10,12,2,4,0.8333333333333334,0
65000,1121,58,3,1,2,1,1,4,5,4,0.25,0
74000,1057,70,2,1,0,1,8,9,5,3,0.8888888888888888,0
49000,1021,48,1,1,0,0,2,10,5,4,0.2,1
67500,1125,60,2,1,0,1,3,12,5,8,0.25,1
103500,1056,98,3,1,0,1,7,9,5,3,0.7777777777777778,0
38500,1041,37,1,1,0,1,10,10,5,3,1.0,0
42500,802,53,2,1,0,1,10,10,2,3,1.0,0
58000,921,63,2,1,0,1,7,12,2,3,0.5833333333333334,0
61778,950,65,2,1,0,0,3,14,2,3,0.21428571428571427,1
76000,710,107,3,1,0,1,11,12,2,4,0.9166666666666666,0
45000,1098,41,2,1,3,2,1,4,6,50,0.25,0
49500,1031,48,1,1,0,1,1,9,6,3,0.1111111111111111,0
37000,1233,30,1,3,2,2,3,4,4,7,0.75,0
83000,1129,74,3,3,1,2,6,9,6,7,0.6666666666666666,0
51000,1186,43,1,1,0,1,4,12,5,3,0.3333333333333333,1
85000,1214,70,2,3,1,1,7,9,6,14,0.7777777777777778,0
78000,1393,56,2,3,2,1,7,12,6,7,0.5833333333333334,0
98000,1181,83,2,3,4,1,5,10,6,8,0.5,1
67500,993,68,2,2,3,0,9,9,5,4,1.0,0
195000,1054,185,5,2,4,2,1,6,6,26,0.16666666666666666,0
139500,1116,125,3,0,3,1,9,14,6,8,0.6428571428571429,0
29500,819,36,1,1,0,1,9,12,5,3,0.75,0
143000,851,168,4,2,4,2,2,3,5,6,0.6666666666666666,0
67000,1117,60,3,1,2,0,9,9,5,4,1.0,0
82500,1179,70,2,2,1,1,2,12,5,7,0.16666666666666666,1
55000,1279,43,1,1,3,1,3,10,6,5,0.3,1
139500,996,140,3,1,2,2,3,6,5,4,0.5,1
67500,1125,60,2,1,2,0,9,9,6,4,1.0,0
63500,1114,57,2,1,0,1,9,10,5,5,0.9,0
67000,1117,60,2,3,1,0,1,9,6,7,0.1111111111111111,0
55000,1078,51,2,0,1,2,2,3,5,7,0.6666666666666666,0
67500,1164,58,3,2,4,0,4,5,5,6,0.8,0
185000,1303,142,3,1,3,2,2,4,6,6,0.5,1
